抑郁词,抑郁倾向（0非抑郁；1抑郁）
抑郁,1
崩溃,1
压力,1
自杀,1
绝食,1
焦躁,1
伤心,1
疲惫,1
死亡,1
孤独,1
失眠,1
难受,1
绝望,1
放弃,1
卑微,1
离开,1
恐惧,1
危险,1
封闭,1
敏感,1
茫然,1
阴影,1
摧毁,1
怀疑,1
崩塌,1
黑暗,1
无助,1
愧疚,1
负面,1
沮丧,1
紧张,1
忧郁,1
废物,1
跳楼,1
遗忘,1
再见,1
割腕,1
边缘,1
阴霾,1
抗抑郁药,1
不稳定的,1
稳定情绪,1
不稳,1
企稳,1
不冷不热,1
不高兴地,1
兴奋,1
缺乏自信,1
自负,1
过于自信,1
自卑,1
怯懦,1
消极,1
少健康,1
不齿,1
真令,1
虔敬,1
羞愧,1
深表,1
痛惜,1
歉疚,1
太完美,1
孤残,1
腰腿,1
肾气,1
肝肾,1
肾阳,1
柔韧性,1
补肾,1
虚弱,1
渐强,1
更弱,1
善感,1
聪敏,1
伪善,1
慈悲心,1
悲悯,1
太认真,1
不能同意,1
劣势,1
短板,1
不划算,1
不合算,1
畸形发展,1
苍绿,1
清楚,1
活明白,1
弄懂,1
搞清楚,1
明白事理,1
搞懂,1
弄清楚,1
知道,1
明明白白,1
搞不懂,1
抑郁症,1
忧郁症,1
产后抑郁症,1
狂躁症,1
躁郁症,1
愁闷,1
疲乏,1
抗抑郁,1
胸闷,1
烦躁,1
易怒,1
积郁,1
烦躁不安,1
闷闷不乐,1
苦闷,1
困乏,1
郁结,1
情绪低落,1
压抑感,1
心情阴郁,1
神经衰弱,1
烦闷,1
烦燥,1
毒瘾,1
痴呆,1
狂躁,1
痉挛,1
体弱,1
忘事,1
消沉,1
消极情绪,1
气闷,1
心理疾病,1
心绞痛,1
生闷气,1
低血压,1
犯病,1
甲亢,1
阴郁,1
焦虑,1
嗜睡,1
愤懑,1
难抑,1
痴呆症,1
高血糖,1
郁闷,1
焦虑症,1
疲劳感,1
自闭,1
胃胀,1
妇科炎症,1
离群,1
精神紧张,1
悲恸,1
神经性,1
痢疾,1
不治之症,1
压抑,1
困倦,1
心绪不宁,1
易患,1
胸痛,1
瘙痒,1
久治不愈,1
肺病,1
全线崩溃,1
崩盘,1
血崩,1
崩掉,1
抓狂,1
发困,1
胃痉挛,1
溃,1
虚脱,1
谈崩,1
崩坏,1
溃败,1
抽搐,1
心理压力,1
山大,1
鸭梨,1
压力感,1
外界压力,1
舆论压力,1
精神压力,1
抗压性,1
重压,1
施加压力,1
挫折感,1
阻力,1
自杀者,1
跳楼自杀,1
自缢,1
上吊自杀,1
跳河自杀,1
自杀身亡,1
服毒自杀,1
杀妻,1
自缢身亡,1
自杀行为,1
堕胎,1
跳井自杀,1
格杀,1
跳桥,1
自残,1
他杀,1
误杀,1
自杀式,1
自焚,1
毙命,1
杀人罪,1
过失杀人,1
自尽,1
剿杀,1
挥刀自宫,1
慢性,1
情杀,1
枪杀,1
投江,1
独食,1
断食,1
绝不食言,1
拒食,1
亡党,1
暴毙,1
暴食,1
断粮,1
暴死,1
拒吃,1
食不果腹,1
拒捕,1
逆反,1
打胎,1
拒买,1
炸死,1
绝症,1
投食,1
流食,1
饥民,1
禁食,1
食言,1
绝灭,1
罢课,1
禁绝,1
吸食毒品,1
装死,1
自绝,1
毒打,1
死罪,1
产假,1
暴饮暴食,1
鸟为食亡,1
饿虎扑食,1
处死刑,1
斩尽杀绝,1
灭绝人性,1
饱食,1
虎毒不食子,1
行刑,1
断然拒绝,1
袭警,1
厌食症,1
绝后,1
弹尽粮绝,1
寻死,1
杀光,1
灭绝,1
饿肚子,1
绝种,1
滔天罪行,1
暴食暴饮,1
打苍蝇,1
不吃不喝,1
挨揍,1
死胎,1
反贼,1
蠢才,1
夺食,1
断子绝孙,1
遭骂,1
误食,1
绝倒,1
猎食,1
就此打住,1
捕食者,1
因噎废食,1
悲痛欲绝,1
剖腹,1
残杀,1
挨饿,1
昏死,1
穷死,1
足月,1
怄,1
斋戒,1
自食恶果,1
嗜食,1
缝针,1
渴死,1
焦燥,1
焦虑不安,1
焦灼,1
烦乱,1
急躁,1
焦心,1
焦虑感,1
躁动不安,1
浮燥,1
惶恐不安,1
心焦,1
性情急躁,1
窘态,1
易激动,1
萎靡不振,1
心浮气躁,1
忧烦,1
狂燥,1
心悸,1
疲惫感,1
心烦,1
厌弃,1
躁动,1
惊惶,1
灼痛,1
发慌,1
憋闷,1
发晕,1
胀痛,1
懊恼,1
戒心,1
毛躁,1
奇痒,1
心烦意乱,1
感到痛苦,1
心慌慌,1
恶念,1
不安,1
晕眩,1
暴躁,1
倦怠,1
生厌,1
凄惶,1
困顿,1
惶惑,1
食欲不振,1
疲累,1
气恼,1
思虑,1
逃开,1
自怨自艾,1
困窘,1
痛起来,1
疲倦,1
聒,1
陷于,1
腻烦,1
忙乱,1
精神不振,1
动怒,1
空虚感,1
愁苦,1
脑胀,1
疼痛感,1
慌乱,1
精神萎靡,1
绞痛,1
太甚,1
灼烧,1
无精打采,1
无措,1
头昏脑涨,1
气短,1
伤心落泪,1
伤心地,1
心痛,1
难过,1
伤怀,1
伤心欲绝,1
悲伤,1
伤心事,1
心伤,1
疲惫不堪,1
惫,1
劳顿,1
身心俱疲,1
劳累,1
倦意,1
精疲力尽,1
身体疲劳,1
疲劳,1
感到疲倦,1
繁重,1
苦累,1
有点累,1
酸痛,1
旅途劳顿,1
身心,1
疲于,1
昏昏沉沉,1
杂务,1
疲态,1
倦容,1
紧绷,1
精疲力竭,1
忙碌,1
浑身酸痛,1
烦扰,1
卸下,1
稍感,1
痛苦不堪,1
放松,1
心力交瘁,1
死亡者,1
脑死亡,1
死亡事故,1
致死,1
死亡线,1
丧生,1
死亡谷,1
死亡威胁,1
伤亡人数,1
死亡证,1
濒死,1
死伤者,1
死因,1
致伤,1
死亡之海,1
丧命,1
伤亡,1
重伤者,1
死亡率,1
死伤,1
一死一伤,1
不幸身亡,1
死难,1
失踪者,1
坠亡,1
伤亡事故,1
抢救无效,1
遇难,1
重伤,1
死难者,1
获救,1
砍杀,1
死去,1
死讯,1
猝,1
矿难,1
死者,1
受伤,1
死刑犯,1
临死时,1
生死未卜,1
孤单,1
寂寞,1
孤独寂寞,1
孤独感,1
孤寂,1
孤孤单单,1
孤单单,1
太孤单,1
孤傲,1
孤苦,1
失眠者,1
难眠,1
深睡眠,1
睡不着,1
彻夜难眠,1
胃痛,1
失眠症,1
胃疼,1
易醒,1
辗转难眠,1
睡眠中,1
头昏,1
欲裂,1
夜尿,1
头痛,1
睡眠不足,1
肠胃炎,1
做噩梦,1
打鼾,1
落枕,1
喉咙痛,1
偏头疼,1
彻夜不眠,1
腹痛,1
嗜睡症,1
晚睡,1
痰多,1
想睡,1
昏睡,1
鼻塞,1
嗓子疼,1
夜惊,1
早醒,1
耳鸣,1
睡不到,1
心慌,1
无眠,1
昏昏噩噩,1
失音,1
很困,1
恶梦,1
低血糖,1
失忆症,1
牙痛,1
低烧,1
早睡,1
孤枕难眠,1
睡好,1
腹胀,1
咽喉炎,1
拖延症,1
太难受,1
不好受,1
好难过,1
难忍,1
好痛,1
酸疼,1
干呕,1
痛死,1
生疼,1
难捱,1
腿痛,1
难以忍受,1
发闷,1
好受,1
咳得,1
难熬,1
发冷,1
快撑,1
心痒,1
牙疼,1
上吐下泻,1
好困,1
晕晕的,1
咽喉痛,1
翻江倒海,1
憋屈,1
累极,1
难挨,1
肚子疼,1
发毛,1
肚子痛,1
真受,1
呼吸困难,1
肚疼,1
脑涨,1
想吐,1
熬不住,1
窝火,1
怕累,1
疼,1
背疼,1
作呕,1
揪心,1
虚汗,1
热伤风,1
挨饿受冻,1
腿酸,1
流涕,1
颈椎痛,1
受冻,1
烦得,1
头疼,1
腰酸腿痛,1
受折磨,1
受苦受难,1
闹肚子,1
饿得,1
疼疼,1
腰酸背疼,1
反胃,1
头疼脑热,1
脚痛,1
受凉,1
难喝,1
腿疼,1
空落落,1
腰疼,1
痛不痛,1
牙痒痒,1
活受罪,1
受死,1
痛不欲生,1
绝境,1
陷入绝境,1
悲观失望,1
欲绝,1
毫无希望,1
失望,1
企望,1
悲戚,1
感到恐惧,1
渴盼,1
痛彻,1
绝不放弃,1
别放弃,1
舍弃,1
放手,1
放手去做,1
放手一搏,1
抛弃,1
离弃,1
弃奖,1
背弃,1
自暴自弃,1
低微,1
卑贱,1
孱弱,1
畏缩,1
低贱,1
弱小,1
高傲,1
脆弱不堪,1
微末,1
无私无畏,1
谨小慎微,1
自贱,1
懦弱,1
私欲,1
平平凡凡,1
渺小,1
愚笨,1
微闭,1
苟活,1
软弱,1
微笑起来,1
轻贱,1
生畏,1
浅薄,1
凄苦,1
寂灭,1
倨傲,1
怨怼,1
不自重,1
漠然,1
作践,1
得宠,1
屈就,1
吝于,1
柔弱,1
自私,1
自怨,1
羸弱,1
自甘,1
软弱可欺,1
恃强凌弱,1
绵薄,1
殉葬品,1
卑劣,1
屈从,1
悲叹,1
悲苦,1
离开了,1
飞离,1
搬离,1
恐惧感,1
恐惧心理,1
畏惧,1
忧惧,1
不安全感,1
惶恐,1
惧怕,1
憎恶,1
胆怯,1
负疚,1
恐怖症,1
恐慌,1
芥蒂,1
惊惧,1
猜忌,1
苦毒,1
惶惶不安,1
令人恐怖,1
压抑着,1
忧虑,1
贪念,1
害怕,1
惶惶,1
敌意,1
憎恨,1
胆寒,1
厌恶感,1
怀恨,1
诘问,1
隔膜,1
欺瞒,1
自卑感,1
心魔,1
欲念,1
恐慌性,1
失落感,1
心理障碍,1
无力感,1
隐痛,1
负累,1
懊悔,1
戒慎,1
紧张不安,1
内疚感,1
厌恶,1
蒙昧,1
紧迫感,1
耽于,1
危险性,1
冒着危险,1
危险物,1
凶险,1
高危,1
隐患,1
高风险,1
全封闭,1
封闭性,1
封闭式,1
半封闭,1
封堵,1
敏感性,1
敏感度,1
敏感点,1
敏感时期,1
敏感话题,1
敏感期,1
敏感部位,1
重感情,1
冷感,1
敏锐,1
依赖感,1
过强,1
茫茫然,1
茫然无措,1
一脸茫然,1
茫然不知,1
迷茫,1
木然,1
怅惘,1
犹疑,1
迟疑,1
失措,1
浑然不觉,1
蓦地,1
前途渺茫,1
空茫,1
怅然若失,1
悚然,1
错愕,1
不知所措,1
黯然无光,1
惘然,1
迷迷茫茫,1
怯怯,1
哑然,1
怦然,1
恍悟,1
来时路,1
乍然,1
倏然,1
愕然,1
踟蹰,1
嗟叹,1
四顾,1
迷惑不解,1
踌躇,1
惊慌失措,1
砰然,1
诧异,1
怅然,1
疑心,1
幡然醒悟,1
黯然,1
困惑,1
依然故我,1
痴痴,1
慌张,1
令人困惑,1
妄念,1
苦笑,1
嗔怪,1
怦怦,1
扯碎,1
迷惘,1
哗然,1
羞怯,1
毫不迟疑,1
痴痴地,1
自怜,1
哑然失笑,1
枉自,1
目光呆滞,1
喃喃地,1
黯淡无光,1
凄然,1
追悔,1
浑然不知,1
忧心忡忡,1
幽怨,1
忽然间,1
微茫,1
惊恐,1
失神,1
讶异,1
心事重重,1
思忖,1
霍然,1
愁思,1
幡然悔悟,1
童年阴影,1
沉迷在,1
摧垮,1
毁坏,1
摧折,1
毁损,1
毁灭,1
击溃,1
击毁,1
拆毁,1
瓦解,1
毁掉,1
泯灭,1
毒化,1
焚毁,1
炸毁,1
毁灭性,1
吞噬,1
削弱,1
覆灭,1
扼杀,1
坚不可摧,1
被毁,1
击垮,1
拖垮,1
烧毁,1
奴役,1
毁于,1
催残,1
摧残,1
湮没,1
毁于一旦,1
磨灭,1
损毁,1
打垮,1
打掉,1
垮掉,1
夺去,1
击碎,1
崩解,1
反噬,1
灭迹,1
捣毁,1
核打击,1
吞并,1
蚕食,1
强加于,1
殃及,1
深信不疑,1
怀疑者,1
塌陷,1
坍塌,1
倒塌,1
轰然,1
山崩,1
垮塌,1
天崩地裂,1
剥蚀,1
分崩离析,1
下陷,1
陷落,1
冲垮,1
崩裂,1
雪崩,1
山崩地裂,1
冲毁,1
断裂,1
坍,1
地陷,1
山体,1
倒毁,1
土崩瓦解,1
压塌,1
塌了,1
陷坑,1
内涝,1
飞石,1
那一步,1
淤积,1
滑向,1
险象,1
枯死,1
陡立,1
炸碎,1
吞没,1
矛盾重重,1
跌碎,1
坑洼,1
凝滞,1
封冻,1
跌下,1
陡峻,1
跌荡,1
边缘化,1
铲掉,1
坑内,1
骤变,1
残肢,1
倾覆,1
灾难性,1
解体,1
矛盾激化,1
震掉,1
水毁,1
溃烂,1
失守,1
碎裂,1
地狱般,1
跌入,1
陷进,1
松脱,1
全毁,1
变弱,1
松动,1
擦枪,1
决堤,1
断陷,1
内部矛盾,1
堕入,1
惨重,1
龟裂,1
黑暗面,1
黑暗世界,1
黎明前,1
黑夜,1
暗黑,1
漆黑,1
灰暗,1
阴暗面,1
阴暗处,1
孤立无援,1
无依无靠,1
无痛苦,1
无畏地,1
束手无策,1
无力,1
痛哭,1
穷困,1
软弱无力,1
苍白无力,1
苦楚,1
病弱,1
愤恨,1
无辜者,1
无援,1
好孤单,1
失声痛哭,1
无助于,1
孤苦无依,1
无法挽救,1
忿忿,1
嘶喊,1
愧疚感,1
内疚,1
悔意,1
自责,1
愧悔,1
心怀不满,1
有愧,1
宽慰,1
甚感,1
受之有愧,1
邪念,1
歉意,1
挂怀,1
心存侥幸,1
羞耻心,1
自愧,1
感到痛心,1
羞愧难当,1
愤慨,1
羞耻,1
于心无愧,1
激愤,1
怜悯之心,1
怨言,1
羞惭,1
溢于言表,1
罪恶感,1
忍下,1
恨意,1
颇感,1
疚,1
感概,1
恻隐,1
酸楚,1
自惭,1
表示同情,1
劝慰,1
感到遗憾,1
恻隐之心,1
冤屈,1
怜惜,1
慷,1
扼腕,1
心寒,1
惴惴,1
亡故,1
忐忑不安,1
惴惴不安,1
醋意,1
惋惜,1
负罪感,1
心怀叵测,1
不无,1
抱憾,1
表示遗憾,1
羞耻感,1
私念,1
负面效应,1
负面新闻,1
负面影响,1
负能量,1
正面,1
全面性,1
情绪反应,1
负作用,1
情绪,1
泛化,1
多层面,1
促发,1
中伤,1
表面化,1
臆测,1
丧气,1
低落,1
挫败,1
失态,1
难堪,1
灰心丧气,1
烦心,1
颓唐,1
哀叹,1
心情坏,1
自悲,1
失落,1
不顺心,1
更坏,1
恼怒,1
忧心,1
沮,1
更累,1
心灰意冷,1
令你有,1
头晕目眩,1
患得患失,1
神伤,1
懊悔不已,1
败事,1
失色,1
劳心,1
哀痛,1
费神,1
心累,1
太紧张,1
紧张感,1
紧张度,1
团结紧张,1
紧张状态,1
紧张性,1
资金紧张,1
紧绷着,1
别紧张,1
紧锣密鼓,1
紧迫,1
忧伤,1
沉郁,1
颓废,1
废弃物,1
废渣,1
毒物,1
排掉,1
污物,1
排走,1
粪便,1
积存,1
体外,1
代谢物,1
废物利用,1
肝脏毒素,1
排出去,1
尿酸,1
肠壁,1
体液,1
致癌物质,1
废水,1
废料,1
食物残渣,1
硫化物,1
钠盐,1
氧化物,1
可溶解,1
分泌物,1
废气,1
残留物,1
蛋白酶,1
生物碱,1
排泄物,1
化学物,1
排泄,1
尿液,1
腺体,1
脂肪沉积,1
污垢,1
类物质,1
降解,1
脏物,1
鞣质,1
生物体,1
残渣,1
赖氨酸,1
乳酸,1
搞坏,1
排尿,1
体内,1
氰化钾,1
病原,1
人体内,1
硼酸,1
含氮,1
窝囊废,1
肾小管,1
肠内,1
草酸钙,1
分解酶,1
堆积物,1
脂肪堆积,1
氰化物,1
欲跳楼,1
坠楼,1
跳窗,1
跳河,1
卧轨,1
跳海,1
摔下,1
轻生,1
跳车,1
往下跳,1
跳下,1
摔死,1
买楼,1
摔下去,1
砍死,1
撞死人,1
跳井,1
摔下来,1
跳表,1
坠下,1
撕票,1
跳下来,1
砍伤,1
身亡,1
工伤,1
泼粪,1
撞人,1
救人者,1
出车祸,1
欠薪,1
劫杀,1
楼上楼,1
下井,1
判死,1
出人命,1
命丧,1
砍头,1
跳蛋,1
医疗事故,1
跳下去,1
绞死,1
掉下去,1
逃婚,1
淡忘,1
忘怀,1
忘记它,1
忘却,1
难忘记,1
遗失在,1
遗弃,1
再会,1
再见面,1
相见,1
拜拜,1
割伤,1
割破,1
